[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 511 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:511 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 615 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:615 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 767 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:767 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 311 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:311 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 407 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:407 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 557 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:557 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 95 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:95 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 126 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:126 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 77 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:77 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
